# frame timestamp, TTL timestamp
532185341992,532185376493
532185375307,532185409952
532185408624,532185444585
532185441940,532185477982
532185475256,532185508980
532185508572,532185542174
532185541888,532185576356
532185575203,532185609428
532185608519,532185645529
532185641836,532185677413
532185675151,532185708884
532185708467,532185742091
532185741783,532185776331
532185775099,532185813546
532185808415,532185842767
532185841731,532185877885
532185875048,532185908587
532185908386,532185941948
532185941679,532185980367
532185974995,532186008673
532186008314,532186041914
532186041627,532186078689
532186074943,532186109461
532186108259,532186145226
532186141575,532186176124
532186174891,532186209389
532186208206,532186242726
532186241523,532186275235
532186274844,532186310848
532186308155,532186341746
532186341470,532186376116
532186374787,532186409232
532186408102,532186442438
532186441419,532186477631
532186474735,532186508275
532186508050,532186541751
532186541367,532186576107
532186574682,532186609173
532186607998,532186644985
532186641314,532186675759
532186674630,532186709025
532186707946,532186742497
532186741262,532186775641
532186774578,532186811322
532186807894,532186841591
532186841210,532186877307
532186874526,532186913074
532186907842,532186942366
532186941158,532186979791
532186974474,532187008728
532187007790,532187041406
532187041105,532187074816
532187074422,532187111525
532187107738,532187146219
532187141054,532187175525
532187174370,532187209000
532187207686,532187242200
532187241001,532187275408
532187274318,532187311812
532187307634,532187341387
532187340949,532187374530
532187374265,532187408721
532187407590,532187442073
532187440898,532187477918
532187474214,532187508752
532187507530,532187541955
532187540845,532187575271
532187574161,532187607875
532187607477,532187643488
532187640793,532187674465
532187674109,532187708316
532187707425,532187741802
532187740741,532187775172
532187774057,532187810149
532187807373,532187841095
532187840689,532187874276
532187874005,532187910443
532187907321,532187941807
532187940637,532187977649
532187973953,532188008555
532188007269,532188041665
532188040585,532188075001
532188073900,532188108809
532188107217,532188144264
532188140533,532188173944
532188173848,532188207482
532188207164,532188242553
532188240481,532188274126
532188273796,532188309836
532188307113,532188340847
532188340428,532188374041
532188373744,532188410281
532188407061,532188443217
532188440376,532188478934
532188473692,532188508441
532188507008,532188539869
532188540323,532188573074
532188573640,532188606315
532188606956,532188642980
532188640272,532188673978
532188673588,532188707041
532188706903,532188740548
532188740219,532188773827
532188773535,532188811939
532188806852,532188840644
532188840168,532188873686
532188873483,532188906896
532188906799,532188940470
532188940115,532188976296
532188973432,532189007140
532189006747,532189040544
532189040063,532189073444
532189073379,532189107047
532189106695,532189143110
532189140012,532189173763
532189173327,532189207061
532189206643,532189240352
532189239959,532189276418
532189273276,532189309394
532189306592,532189340271
532189339911,532189375424
532189373223,532189406834
532189406538,532189440158
532189439855,532189478474
532189473171,532189506806
532189506486,532189540249
532189539802,532189573546
532189573119,532189606634
532189606434,532189642485
532189639751,532189673467
532189673066,532189706652
532189706382,532189740124
532189739698,532189773354
532189773014,532189809067
532189806331,532189840030
532189839649,532189873275
532189872962,532189906348
532189906280,532189940817
532189939595,532189978074
532189972911,532190007025
532190006229,532190039944
532190039542,532190073385
532190072858,532190106266
532190106174,532190142346
532190139491,532190174373
532190172806,532190206490
532190206122,532190239867
532190239438,532190273085
532190272754,532190308828
532190306071,532190339809
